Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,AUD,,,,,,768690670.0,0.0318
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,USD,,,,,,102509351.0,0.0042
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,USD,,,,,,99918059.0,0.0040999999999999995
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,AUD,,,,,,94489865.0,0.0039000000000000003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,AUD,,,,,,75059150.0,0.0031
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,EUR,,,,,,56438271.0,0.0023
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,JPY,,,,,,29689308.0,0.0012
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,NBN CO. LTD.,AUD,,,,,,25937766.0,0.0011
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,,,,,20180086.0,0.0008
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,GBP,,,,,,16810955.0,0.0007000000000000001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,NATIONAL AUSTRALIA BANK LIMITED,AUD,,,,,,15603077.0,0.0006
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,SCENTRE GROUP LTD,AUD,,,,,,10432756.0,0.0004
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,BENDIGO & ADELAIDE BANK LTD.,AUD,,,,,,8231046.0,0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,PACCAR FINANCIAL PTY LTD,AUD,,,,,,7245271.0,0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,EUR,,,,,,7068896.0,0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,GPT RE LTD,AUD,,,,,,5363397.0,0.0002
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,KRW,,,,,,3559054.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,CAD,,,,,,3463834.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,USD,,,,,,2802317.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,GBP,,,,,,2593728.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"GOLDMAN SACHS GROUP, INC.",USD,,,,,,2577363.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,JPY,,,,,,2550870.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MORGAN STANLEY,EUR,,,,,,1570621.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"GOLDMAN SACHS GROUP, INC.",KRW,,,,,,1061295.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,CAD,,,,,,966668.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,IDR,,,,,,894131.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MIZUHO BANK LTD.,USD,,,,,,594772.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,COP,,,,,,590572.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,HKD,,,,,,576313.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,CNY,,,,,,566189.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,BRL,,,,,,485759.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,MXN,,,,,,465810.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,PLN,,,,,,465000.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,NZD,,,,,,408146.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,PEN,,,,,,338413.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,SGD,,,,,,328881.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,INR,,,,,,286548.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,ZAR,,,,,,273353.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"CITIGROUP, INC.",USD,,,,,,248090.0,0.0
