Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,CareSuper,Balanced,Cash,1,Australia and New Zealand Banking Group,AUD,,,,,,110893396,0.0026
2024-12-31,CareSuper,Balanced,Cash,1,Bank of America Merrill Lynch,AUD,,,,,,2160863,0.0001
2024-12-31,CareSuper,Balanced,Cash,1,Bank of America Merrill Lynch,USD,,,,,,-860394,0
2024-12-31,CareSuper,Balanced,Cash,1,Bank of New York Mellon,USD,,,,,,351428,0
2024-12-31,CareSuper,Balanced,Cash,1,The Bank Of Nova Scotia,AUD,,,,,,140846685,0.0033
2024-12-31,CareSuper,Balanced,Cash,1,Bank of Queensland,AUD,,,,,,127249299,0.003
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,AUD,,,,,,107590,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,CAD,,,,,,-76536,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,EUR,,,,,,-662516,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,GBP,,,,,,847820,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,ILS,,,,,,47,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,JPY,,,,,,-319087,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,NZD,,,,,,-10377,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,SEK,,,,,,17608,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,SGD,,,,,,23101,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,THB,,,,,,1341,0
2024-12-31,CareSuper,Balanced,Cash,1,Barclays Bank,USD,,,,,,6815139,0.0002
2024-12-31,CareSuper,Balanced,Cash,1,Bendigo and Adelaide Bank,AUD,,,,,,109399820,0.0026
2024-12-31,CareSuper,Balanced,Cash,1,BNP Paribas,USD,,,,,,5127220,0.0001
2024-12-31,CareSuper,Balanced,Cash,1,Canadian Imperial Bank of Commerce,AUD,,,,,,179177870,0.0042
2024-12-31,CareSuper,Balanced,Cash,1,Challenger,AUD,,,,,,46095867,0.0011
2024-12-31,CareSuper,Balanced,Cash,1,Citigroup,AUD,,,,,,35277182,0.0008
2024-12-31,CareSuper,Balanced,Cash,1,Citigroup,CAD,,,,,,-8079,0
2024-12-31,CareSuper,Balanced,Cash,1,Citigroup,EUR,,,,,,-255336,0
2024-12-31,CareSuper,Balanced,Cash,1,Citigroup,GBP,,,,,,136499,0
2024-12-31,CareSuper,Balanced,Cash,1,Citigroup,JPY,,,,,,44753,0
2024-12-31,CareSuper,Balanced,Cash,1,Citigroup,USD,,,,,,5453846,0.0001
2024-12-31,CareSuper,Balanced,Cash,1,Commonwealth Bank Of Australia,AUD,,,,,,286532906,0.0068
2024-12-31,CareSuper,Balanced,Cash,1,Credit Agricole,AUD,,,,,,179606716,0.0042
2024-12-31,CareSuper,Balanced,Cash,1,Credit Union Australia,AUD,,,,,,30690135,0.0007
2024-12-31,CareSuper,Balanced,Cash,1,Cuscal,AUD,,,,,,3701202,0.0001
2024-12-31,CareSuper,Balanced,Cash,1,DBS Bank Ltd,AUD,,,,,,177978745,0.0042
2024-12-31,CareSuper,Balanced,Cash,1,Deutsche Bank,USD,,,,,,1381477,0
2024-12-31,CareSuper,Balanced,Cash,1,Goldman Sachs,AUD,,,,,,1095438,0
2024-12-31,CareSuper,Balanced,Cash,1,Goldman Sachs,USD,,,,,,-10227299,-0.0002
2024-12-31,CareSuper,Balanced,Cash,1,HSBC Bank,CHF,,,,,,4772,0
2024-12-31,CareSuper,Balanced,Cash,1,HSBC Bank,EUR,,,,,,184889,0
2024-12-31,CareSuper,Balanced,Cash,1,HSBC Bank,GBP,,,,,,42778,0
2024-12-31,CareSuper,Balanced,Cash,1,HSBC Bank,JPY,,,,,,48500,0
2024-12-31,CareSuper,Balanced,Cash,1,HSBC Bank,USD,,,,,,1685769,0
2024-12-31,CareSuper,Balanced,Cash,1,ING Bank (Australia),AUD,,,,,,171379074,0.004
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,AED,,,,,,706,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,AUD,,,,,,532686006,0.0126
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,BRL,,,,,,225189,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,CAD,,,,,,1333927,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,CHF,,,,,,401752,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,CNH,,,,,,-131396730,-0.0031
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,CNY,,,,,,132330249,0.0031
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,COP,,,,,,-4,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,CZK,,,,,,1459488,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,DKK,,,,,,98042,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,EUR,,,,,,6140744,0.0001
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,GBP,,,,,,2454679,0.0001
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,HKD,,,,,,1592797,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,HUF,,,,,,61022,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,IDR,,,,,,10470,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,ILS,,,,,,333138,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,INR,,,,,,233925,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,JPY,,,,,,3926297,0.0001
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,KRW,,,,,,12130,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,MXN,,,,,,304722,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,NOK,,,,,,22800,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,NZD,,,,,,165070,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,PHP,,,,,,1218,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,PLN,,,,,,132982,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,RON,,,,,,5570,0
2024-12-31,CareSuper,Balanced,Cash,1,JP Morgan Chase & Co,RUB,,,,,,93726,0
